Item:Q2391310,FIDE ID:13600028
Item:Q106807,FIDE ID:1503014
Item:Q9184712,FIDE ID:3600017
Item:Q113167,FIDE ID:700436
Item:Q17518822,FIDE ID:11000120
Item:Q376005,FIDE ID:700207
Item:Q471374,FIDE ID:13300490
Item:Q489555,FIDE ID:14100061
Item:Q254921,FIDE ID:205591
Item:Q627195,FIDE ID:3506690
Item:Q706264,FIDE ID:100935
Item:Q725629,FIDE ID:2000369
Item:Q862195,FIDE ID:2700050
Item:Q1589312,FIDE ID:2300290
Item:Q1719115,FIDE ID:8400253
Item:Q6167988,FIDE ID:5201080
Item:Q1398266,FIDE ID:1100025
Item:Q1392977,FIDE ID:13405152
Item:Q1373353,FIDE ID:5200016
Item:Q4148433,FIDE ID:4400291
Item:Q4224534,FIDE ID:11601035
Item:Q4261192,FIDE ID:5200148
Item:Q2863141,FIDE ID:600113
Item:Q19300083,FIDE ID:32001622
Item:Q4421791,FIDE ID:2802376
Item:Q14753868,FIDE ID:5201640
Item:Q4495896,FIDE ID:4100948
Item:Q4725096,FIDE ID:6308848
Item:Q4800779,FIDE ID:5200032
Item:Q5225999,FIDE ID:5201330
Item:Q18236597,FIDE ID:5201110
Item:Q1817728,FIDE ID:14200147
Item:Q21141411,FIDE ID:4902750
Item:Q22919547,FIDE ID:7800088
Item:Q11768656,FIDE ID:1201638
Item:Q147495,FIDE ID:5202213
Item:Q74744,FIDE ID:2000547
Item:Q158050,FIDE ID:900400
Item:Q3556783,FIDE ID:4102118
Item:Q4191878,FIDE ID:4103769
Item:Q6253566,FIDE ID:3200353
Item:Q8461346,FIDE ID:16210557
Item:Q2355042,FIDE ID:1000381
Item:Q1359478,FIDE ID:2000652
Item:Q11790532,FIDE ID:5200610
Item:Q11784654,FIDE ID:9000240
Item:Q4747528,FIDE ID:8700168
Item:Q6769148,FIDE ID:5201241
Item:Q11727893,FIDE ID:5201381
Item:Q7332271,FIDE ID:5200024
Item:Q9051951,FIDE ID:3600033
Item:Q9158586,FIDE ID:1122991
Item:Q7384406,FIDE ID:404004
Item:Q11813684,FIDE ID:400190
Item:Q11836763,FIDE ID:1105698
Item:Q454878,FIDE ID:13503383
Item:Q487753,FIDE ID:14500566
Item:Q495713,FIDE ID:11600128
Item:Q4535150,FIDE ID:13800019
Item:Q603418,FIDE ID:14600730
Item:Q650054,FIDE ID:13600184
Item:Q813153,FIDE ID:24691470
Item:Q944040,FIDE ID:4100921
Item:Q1394574,FIDE ID:14100193
Item:Q23061250,FIDE ID:12806005
Item:Q15614863,FIDE ID:5200059
Item:Q4224535,FIDE ID:11601175
Item:Q4523127,FIDE ID:34147850
Item:Q4519067,FIDE ID:4103726
Item:Q5888524,FIDE ID:3500128
Item:Q492717,FIDE ID:2901595
Item:Q5767498,FIDE ID:3400085
Item:Q2902350,FIDE ID:1000624
Item:Q938554,FIDE ID:14100509
Item:Q969657,FIDE ID:634654
Item:Q1581636,FIDE ID:500119
Item:Q4512912,FIDE ID:4102177
Item:Q4985485,FIDE ID:5200393
Item:Q11836251,FIDE ID:8700117
Item:Q12497618,FIDE ID:7102747
Item:Q15070996,FIDE ID:24158593
Item:Q16225523,FIDE ID:11000228
Item:Q11728477,FIDE ID:5201233
Item:Q17495053,FIDE ID:24158780
Item:Q21821377,FIDE ID:12806919
Item:Q21856666,FIDE ID:12821209
Item:Q4213870,FIDE ID:13305611
Item:Q20645066,FIDE ID:44185642
Item:Q2395659,FIDE ID:4107969
Item:Q16562807,FIDE ID:25829300
Item:Q21685266,FIDE ID:12806455
Item:Q21664448,FIDE ID:12808440
Item:Q16225615,FIDE ID:5216184
Item:Q16225488,FIDE ID:8700257
Item:Q16693809,FIDE ID:5201268
Item:Q21175170,FIDE ID:7800010
Item:Q21479815,FIDE ID:22267875
Item:Q21529352,FIDE ID:12806935
Item:Q21541140,FIDE ID:12822884
Item:Q21530869,FIDE ID:8700443
Item:Q21832755,FIDE ID:12819310
Item:Q97960,FIDE ID:12900834
Item:Q108807,FIDE ID:1400029
Item:Q104148,FIDE ID:4100310
Item:Q307862,FIDE ID:9000283
Item:Q496191,FIDE ID:300098
Item:Q492077,FIDE ID:4100301
Item:Q11835179,FIDE ID:5201047
Item:Q385119,FIDE ID:700525
Item:Q487777,FIDE ID:14500639
Item:Q1284438,FIDE ID:7100043
Item:Q1364413,FIDE ID:13900820
Item:Q1593416,FIDE ID:24672858
Item:Q1668780,FIDE ID:12809497
Item:Q1891541,FIDE ID:2200155
Item:Q2090109,FIDE ID:5200210
Item:Q2195541,FIDE ID:3600270
Item:Q4173377,FIDE ID:44150075
