qid,P1087,qal585,S813,S854,S1440
Q27526762,2306,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2002663
Q27527249,2300,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2002906
Q5387451,1989,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2002973
Q9207020,2250,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2003287
Q7177751,2220,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2004151
Q27579925,2226,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2004860
Q142956,2046,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2902206
Q17426778,2158,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,300640
Q142319,2609,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,400076
Q27524282,2344,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,401536
Q26776743,2447,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,501840
Q27526332,2449,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,921815
Q27534629,2349,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,935972
Q5935233,2376,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,100129
Q27532135,2400,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,1005642
Q27533743,2310,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,100951
Q27522997,2330,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,100960
Q27597725,2065,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,102660
Q28478807,2054,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,102687
Q27532160,2338,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,106720
Q27597720,1939,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,108987
Q22918580,2415,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2000610
Q27524238,2405,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2000695
Q27526237,2375,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2000717
Q27527398,2422,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2000881
Q28479405,2079,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,2004631
Q1965250,1766,+2018-06-01T00:00:00Z,+2018-07-28T00:00:00Z,Q27038151,3202640
